what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.views.showView,1231030994153
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.views.showView,1231030994153
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231031010637
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231031021387
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1231031021403
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231031026903
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231031093747
started,bundle,org.eclipse.cdt.mylyn.ui,5.0.1.200809120802,org.eclipse.cdt.mylyn.ui,1231031099653
started,bundle,org.eclipse.dltk.core,0.95.1.v20080920-R0951,org.eclipse.dltk.core,1231031100122
started,bundle,org.eclipse.dltk.launching,0.95.1.v20080915-1703,org.eclipse.dltk.launching,1231031100262
started,bundle,org.eclipse.dltk.ui,0.95.1.v20080920-R0951,org.eclipse.dltk.ui,1231031100294
started,bundle,org.eclipse.dltk.mylyn,0.95.1.v20080903-1434,org.eclipse.dltk.mylyn,1231031100294
started,bundle,org.eclipse.mylyn.ide.ant,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.ide.ant,1231031100309
started,bundle,org.eclipse.mylyn.java.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.java.ui,1231031100325
started,bundle,org.eclipse.mylyn.pde.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.pde.ui,1231031100325
started,bundle,org.eclipse.mylyn.resources.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.resources.ui,1231031100340
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231031100684
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1231031102044
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1231031102044
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1231031102059
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.101.v20080620,org.eclipse.jst.server.tomcat.ui,1231031102059
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1231031102059
stopped,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1231031102059
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.java.tasks,1231031102059
stopped,bundle,org.eclipse.mylyn.pde.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.pde.ui,1231031102059
